,DOLocationID,Date,Number of Rides
235,243,2018-01-13,1554.0
236,244,2018-01-13,2360.0
237,245,2018-01-14,5.0
238,246,2018-01-14,2169.0
239,247,2018-01-05,1116.0
240,248,2018-01-06,104.0
241,249,2018-01-06,7310.0
242,250,2018-01-20,34.0
243,251,2018-01-21,7.0
244,252,2018-01-21,42.0
245,253,2018-01-22,23.0
246,254,2018-01-22,71.0
247,255,2018-01-23,141.0
248,256,2018-01-14,207.0
249,257,2018-01-01,253.0
250,258,2018-01-02,93.0
251,259,2018-01-02,63.0
252,260,2018-01-02,1226.0
253,261,2018-01-06,269.0
254,262,2018-01-05,993.0
255,263,2018-01-02,4346.0
256,264,2018-01-01,4096.0
257,265,2018-01-26,706.0
258,59,2018-02-22,4.0
259,172,2018-02-08,1.0
260,110,2018-03-27,2.0
261,104,2018-05-15,1.0
262,99,2018-07-22,1.0
