,DOLocationID,Date,Number of Rides
0,2,2018-01-01,3.0
1,3,2018-01-01,36.0
2,4,2018-01-01,1802.0
3,5,2018-01-05,2.0
4,6,2018-01-05,51.0
5,7,2018-01-05,176.0
6,8,2018-01-16,71.0
7,9,2018-01-16,46.0
8,10,2018-01-16,956.0
9,11,2018-01-17,63.0
10,12,2018-01-17,192.0
11,13,2018-01-19,1737.0
12,14,2018-01-06,380.0
13,15,2018-01-06,30.0
14,16,2018-01-06,57.0
15,17,2018-01-06,211.0
16,18,2018-01-07,105.0
17,19,2018-01-07,92.0
18,20,2018-01-08,33.0
19,21,2018-01-08,68.0
20,22,2018-01-08,119.0
21,23,2018-01-08,7.0
22,24,2018-01-08,2219.0
23,25,2018-01-18,2844.0
24,26,2018-01-21,288.0
25,27,2018-01-21,5.0
26,28,2018-01-21,542.0
27,29,2018-01-21,90.0
28,30,2018-01-21,4.0
29,31,2018-01-21,21.0
30,32,2018-01-21,45.0
31,33,2018-01-21,507.0
32,34,2018-01-25,142.0
33,35,2018-01-25,162.0
34,36,2018-01-25,891.0
35,37,2018-01-25,1601.0
36,38,2018-01-25,40.0
37,39,2018-01-25,48.0
38,40,2018-01-26,2857.0
39,41,2018-01-27,1323.0
40,42,2018-01-15,162.0
41,43,2018-01-12,5739.0
42,44,2018-01-15,1.0
43,45,2018-01-15,920.0
44,46,2018-01-25,3.0
45,47,2018-01-25,111.0
46,48,2018-01-25,6988.0
47,49,2018-01-13,184.0
48,50,2018-01-14,6795.0
49,51,2018-01-23,76.0
50,52,2018-01-23,2435.0
51,53,2018-01-24,45.0
52,54,2018-01-24,332.0
53,55,2018-01-24,98.0
54,56,2018-01-24,299.0
55,57,2018-01-24,22.0
56,58,2018-01-24,4.0
57,60,2018-01-24,59.0
58,61,2018-01-24,1529.0
59,62,2018-01-24,343.0
60,63,2018-01-24,103.0
61,64,2018-01-24,45.0
62,65,2018-01-24,2245.0
63,66,2018-01-25,56.0
64,67,2018-01-26,91.0
65,68,2018-01-26,10435.0
66,69,2018-01-30,25.0
67,70,2018-01-31,146.0
68,71,2018-01-03,162.0
69,72,2018-01-03,128.0
70,73,2018-01-03,26.0
71,74,2018-01-03,5324.0
72,75,2018-01-05,3725.0
73,76,2018-01-15,362.0
74,77,2018-01-15,87.0
75,78,2018-01-15,117.0
76,79,2018-01-15,8397.0
77,80,2018-01-16,914.0
78,81,2018-01-17,37.0
79,82,2018-01-17,1471.0
80,83,2018-01-18,979.0
81,84,2018-01-18,8.0
82,85,2018-01-18,170.0
83,86,2018-01-18,19.0
84,87,2018-01-18,2076.0
85,88,2018-01-02,788.0
86,89,2018-01-08,689.0
87,90,2018-01-08,2259.0
88,91,2018-01-31,161.0
89,92,2018-01-31,353.0
90,93,2018-01-31,713.0
91,94,2018-01-01,78.0
92,95,2018-01-01,531.0
93,96,2018-01-04,20.0
94,97,2018-01-04,130.0
95,98,2018-01-21,51.0
96,100,2018-01-21,4013.0
97,101,2018-01-16,41.0
98,102,2018-01-16,80.0
99,105,2018-01-16,7.0
100,106,2018-01-16,1321.0
101,107,2018-01-16,7050.0
102,108,2018-01-25,68.0
103,109,2018-01-25,7.0
104,111,2018-01-25,13.0
105,112,2018-01-25,3168.0
106,113,2018-01-25,1172.0
107,114,2018-01-19,2247.0
108,115,2018-01-07,7.0
109,116,2018-01-07,2997.0
110,117,2018-01-09,15.0
111,118,2018-01-09,27.0
112,119,2018-01-09,401.0
113,120,2018-01-09,43.0
114,121,2018-01-09,121.0
115,122,2018-01-09,35.0
116,123,2018-01-09,139.0
117,124,2018-01-09,60.0
118,125,2018-01-10,4115.0
119,126,2018-01-21,146.0
120,127,2018-01-21,769.0
121,128,2018-01-21,51.0
122,129,2018-01-21,870.0
123,130,2018-01-23,749.0
124,131,2018-01-23,102.0
125,132,2018-01-23,8270.0
126,133,2018-01-31,343.0
127,134,2018-01-31,449.0
128,135,2018-01-31,182.0
129,136,2018-01-31,28.0
130,137,2018-01-02,7065.0
131,138,2018-01-05,9550.0
132,139,2018-01-08,29.0
133,140,2018-01-08,2422.0
134,141,2018-01-06,7189.0
135,142,2018-01-05,10986.0
136,143,2018-01-14,3205.0
137,144,2018-01-14,3764.0
138,145,2018-01-02,96.0
139,146,2018-01-06,1315.0
140,147,2018-01-10,89.0
141,148,2018-01-10,4274.0
142,149,2018-01-19,64.0
143,150,2018-01-19,52.0
144,151,2018-01-19,2019.0
145,152,2018-01-13,1268.0
146,153,2018-01-16,85.0
147,154,2018-01-16,19.0
148,155,2018-01-16,88.0
149,156,2018-01-16,5.0
150,157,2018-01-16,381.0
151,158,2018-01-16,1099.0
152,159,2018-01-03,297.0
153,160,2018-01-04,134.0
154,161,2018-01-04,10038.0
155,162,2018-01-08,13868.0
156,163,2018-01-14,6316.0
157,164,2018-01-21,2365.0
158,165,2018-01-09,183.0
159,166,2018-01-09,3416.0
160,167,2018-01-13,162.0
161,168,2018-01-13,403.0
162,169,2018-01-14,146.0
163,170,2018-01-14,8572.0
164,171,2018-01-10,82.0
165,173,2018-01-10,319.0
166,174,2018-01-10,120.0
167,175,2018-01-10,38.0
168,176,2018-01-10,2.0
169,177,2018-01-10,199.0
170,178,2018-01-10,138.0
171,179,2018-01-10,5313.0
172,180,2018-01-10,63.0
173,181,2018-01-10,655.0
174,182,2018-01-12,150.0
175,183,2018-01-12,17.0
176,184,2018-01-12,2.0
177,185,2018-01-12,73.0
178,186,2018-01-12,12424.0
179,187,2018-01-11,2.0
180,188,2018-01-11,74.0
181,189,2018-01-20,100.0
182,190,2018-01-11,83.0
183,191,2018-01-14,57.0
184,192,2018-01-15,37.0
185,193,2018-01-16,167.0
186,194,2018-01-06,71.0
187,195,2018-01-09,89.0
188,196,2018-01-12,84.0
189,197,2018-01-18,70.0
190,198,2018-01-21,78.0
191,199,2018-01-23,2.0
192,200,2018-01-23,12.0
193,201,2018-01-24,12.0
194,202,2018-01-24,1.0
195,203,2018-01-27,41.0
196,204,2018-01-28,1.0
197,205,2018-01-28,70.0
198,206,2018-01-29,8.0
199,207,2018-01-29,60.0
200,208,2018-01-30,1.0
201,209,2018-01-07,630.0
202,210,2018-01-27,83.0
203,211,2018-01-27,2309.0
204,212,2018-01-27,143.0
205,213,2018-01-27,146.0
206,214,2018-01-27,3.0
207,215,2018-01-27,175.0
208,216,2018-01-28,289.0
209,217,2018-01-29,248.0
210,218,2018-01-30,94.0
211,219,2018-01-30,104.0
212,220,2018-01-31,177.0
213,221,2018-01-31,1.0
214,222,2018-01-31,51.0
215,223,2018-01-31,136.0
216,224,2018-01-15,51.0
217,225,2018-01-05,770.0
218,226,2018-01-05,1688.0
219,227,2018-01-08,111.0
220,228,2018-01-08,561.0
221,229,2018-01-09,4940.0
222,230,2018-01-06,8822.0
223,231,2018-01-20,5929.0
224,232,2018-01-13,3361.0
225,233,2018-01-16,697.0
226,234,2018-01-08,16840.0
227,235,2018-01-09,271.0
228,236,2018-01-09,8495.0
229,237,2018-01-09,14671.0
230,238,2018-01-19,6819.0
231,239,2018-01-14,4981.0
232,240,2018-01-13,18.0
233,241,2018-01-13,84.0
234,242,2018-01-13,119.0
